donor	receiver	compound	mass_rate	rate	frequency	community	medium
CH9-bin.5	environment	M_ac_e	0.0016872460990021462	0.028576128931221457	1.0	CM_X	SC1_X
CH3-bin.2	CH3-bin.1	M_asp__D_e	0.0016183251340336536	0.012251268099986404	1.0	M_X	SC1_X
CH14-bin.2	environment	M_12ppd__R_e	0.0016054394090556459	0.021098079996420827	0.2	CD_X	SC1_X
CH3-bin.1	environment	M_co2_e	0.0015472990325096365	0.03515829610674141	1.0	M_X	SC1_X
CH14-bin.1	CH14-bin.0	M_glyc_e	0.0015203056418634751	0.016508283883916616	0.8	CD_X	SC1_X
CH9-bin.6	CH9-bin.1	M_acald_e	0.0014346160315672173	0.03256612651222674	0.9	CM_X	SC1_X
CH9-bin.2	CH9-bin.0	M_urea_e	0.001385851796379692	0.023076338169109565	1.0	CM_X	SC1_X
CH14-bin.0	environment	M_h2s_e	0.0013475104522173277	0.039538697806897956	1.0	CD_X	SC1_X
CH14-bin.0	CH14-bin.4	M_lac__L_e	0.001265214220836899	0.014204749767450906	0.7	CD_X	SC1_X
CH9-bin.0	CH9-bin.5	M_glyc_e	0.0012597559470575708	0.01367909729848003	0.1	CM_X	SC1_X
environment	CH9-bin.0	M_cys__L_e	0.0012093140171572283	0.009981305529042913	1.0	CM_X	SC1_X
CH3-bin.2	environment	M_h2_e	0.001192315860170191	0.5914851970285699	1.0	M_X	SC1_X
CH9-bin.5	CH9-bin.4	M_orn__L_e	0.0011892855837163751	0.008930689140339412	0.8	CM_X	SC1_X
CH9-bin.6	CH9-bin.5	M_xyl__D_e	0.0011500492568361181	0.007660381582807629	1.0	CM_X	SC1_X
CH9-bin.6	CH9-bin.4	M_mal__L_e	0.0011400973600738846	0.008632431851815647	1.0	CM_X	SC1_X
CH9-bin.4	CH9-bin.0	M_lys__L_e	0.001136925094638486	0.007723943524119967	0.5	CM_X	SC1_X
CH9-bin.2	CH9-bin.5	M_orn_e	0.0011050763591249988	0.008298337737218432	1.0	CM_X	SC1_X
CH9-bin.0	CH9-bin.1	M_acald_e	0.0010537047713003508	0.023919349940079337	0.3	CM_X	SC1_X
CH9-bin.6	CH9-bin.1	M_gal_e	0.000968142530059132	0.005373930118437372	0.5	CM_X	SC1_X
CH14-bin.4	environment	M_ac_e	0.000967485930581865	0.016385874418557465	1.0	CD_X	SC1_X
CH3-bin.2	CH3-bin.1	M_acald_e	0.000910602350740823	0.020670890819588107	0.4	M_X	SC1_X
