donor	receiver	compound	mass_rate	rate	frequency	community	medium
CH9-bin.6	CH9-bin.4	M_acald_e	0.0024976093282325037	0.056696328196250464	0.924	CM_X	SC1_X
CH9-bin.0	CH9-bin.4	M_glyc_e	0.002442003750375913	0.026516570120322422	0.756	CM_X	SC1_X
CH9-bin.4	environment	M_etoh_e	0.002416104170848237	0.052446246453046505	0.975	CM_X	SC1_X
CH14-bin.1	environment	M_for_e	0.0023495904881867414	0.0521929406893055	0.036	CD_X	SC1_X
CH9-bin.0	CH9-bin.2	M_glyc_e	0.002284621923091114	0.02480763488293	0.318	CM_X	SC1_X
CH3-bin.2	CH3-bin.1	M_asp__D_e	0.002213190881417889	0.01675460281403002	1.0	M_X	SC1_X
CH3-bin.2	environment	M_ibt_e	0.002201367522318439	0.02527492393321047	0.006	M_X	SC1_X
CH9-bin.1	CH9-bin.0	M_xyl__D_e	0.0021921694314625253	0.014601856606879559	0.039	CM_X	SC1_X
CH9-bin.2	CH9-bin.0	M_cys__L_e	0.002191688702561229	0.0180895236923158	0.003	CM_X	SC1_X
CH3-bin.1	CH3-bin.2	M_lac__L_e	0.0021599079426274045	0.02424961033512374	0.819	M_X	SC1_X
CH14-bin.0	CH14-bin.1	M_ptrc_e	0.0020691289321075074	0.022947791560835117	0.001	CD_X	SC1_X
CH3-bin.2	environment	M_but_e	0.001998067211230904	0.022940738547880625	0.001	M_X	SC1_X
CH3-bin.1	CH3-bin.2	M_acald_e	0.0018736246982050838	0.04253172808303484	0.279	M_X	SC1_X
CH9-bin.5	environment	M_ac_e	0.0018441438217552356	0.031233435151730077	0.998	CM_X	SC1_X
CH14-bin.1	CH14-bin.0	M_glyc_e	0.00182507195276806	0.01981759790612866	0.326	CD_X	SC1_X
CH3-bin.1	environment	M_co2_e	0.0016188022134648082	0.0367830176090346	1.0	M_X	SC1_X
CH14-bin.1	CH14-bin.2	M_co2_e	0.0016148827911693457	0.03669395905814302	0.706	CD_X	SC1_X
CH14-bin.2	environment	M_12ppd__R_e	0.0016003060344472984	0.021030619120895034	0.103	CD_X	SC1_X
CH3-bin.1	environment	M_but_e	0.0015975034724867944	0.018341680042421656	0.023	M_X	SC1_X
CH3-bin.1	environment	M_acald_e	0.0015270091594786418	0.0346634725798967	0.038	M_X	SC1_X
CH9-bin.2	CH9-bin.0	M_urea_e	0.0015066559627448309	0.025087893663399627	1.0	CM_X	SC1_X
CH9-bin.6	CH9-bin.1	M_acald_e	0.0014444618974374195	0.03278963001873722	0.709	CM_X	SC1_X
CH9-bin.4	environment	M_ac_e	0.0014397167515391314	0.02438383561280897	0.989	CM_X	SC1_X
CH9-bin.0	CH9-bin.4	M_acald_e	0.0014144001131807327	0.032107220337160576	0.055	CM_X	SC1_X
CH9-bin.6	CH9-bin.4	M_xyl__D_e	0.0013763130267553235	0.00916750556523084	0.988	CM_X	SC1_X
CH9-bin.6	CH9-bin.2	M_acald_e	0.0013334878619656238	0.030270492912205103	0.054	CM_X	SC1_X
CH9-bin.6	CH9-bin.5	M_xyl__D_e	0.0013321938596040064	0.008873631495502259	0.999	CM_X	SC1_X
CH9-bin.0	CH9-bin.1	M_diact_e	0.0013209088691096672	0.015343526688771703	0.482	CM_X	SC1_X
CH3-bin.2	CH3-bin.1	M_xylan4_e	0.0012938537262265693	0.0017930636156747127	0.001	M_X	SC1_X
CH9-bin.4	environment	M_man1p_e	0.0011777446902693502	0.0045627885156656126	0.219	CM_X	SC1_X
CH3-bin.2	environment	M_h2_e	0.001164276229659553	0.5775752701952341	0.968	M_X	SC1_X
CH3-bin.1	CH3-bin.2	M_cell4_e	0.0011476480865581253	0.001721706281891525	0.001	M_X	SC1_X
CH3-bin.1	environment	M_lac__L_e	0.0011399348697654957	0.01279821970820071	0.02	M_X	SC1_X
environment	CH9-bin.0	M_cys__L_e	0.0011379604433660953	0.009392375101962773	1.0	CM_X	SC1_X
CH14-bin.1	environment	M_man1p_e	0.0010687411149717526	0.004140489637442165	0.001	CD_X	SC1_X
CH14-bin.2	environment	M_but_e	0.0010260600979250932	0.011780672996686371	0.032	CD_X	SC1_X
CH14-bin.0	environment	M_h2s_e	0.0010254043273336207	0.030087448866623453	1.0	CD_X	SC1_X
CH14-bin.0	environment	M_lac__L_e	0.0009989730439830305	0.011215620153890887	0.005	CD_X	SC1_X
CH14-bin.0	environment	M_hxa_e	0.000996022470649992	0.008649790148753856	0.078	CD_X	SC1_X
CH9-bin.1	CH9-bin.6	M_lcts_e	0.00099049878808612	0.002893694187381082	0.706	CM_X	SC1_X
CH14-bin.1	environment	M_ibtol_e	0.000984270544799787	0.011427479769978221	0.001	CD_X	SC1_X
CH9-bin.6	CH9-bin.5	M_acald_e	0.0009440493443827569	0.021430145562619903	0.688	CM_X	SC1_X
CH14-bin.1	environment	M_ibt_e	0.000914435032113649	0.010499053721930962	0.01	CD_X	SC1_X
CH9-bin.5	environment	M_ppap_e	0.0009046037451221167	0.005949680780638273	1.0	CM_X	SC1_X
CH9-bin.4	CH9-bin.2	M_arg__L_e	0.0008687170814169156	0.00495819593830267	0.236	CM_X	SC1_X
CH14-bin.1	environment	M_acald_e	0.0008589299915174205	0.019497915925520984	0.008	CD_X	SC1_X
environment	CH3-bin.2	M_cys__L_e	0.0008366430110129762	0.00690539379613691	0.998	M_X	SC1_X
environment	CH14-bin.0	M_cys__L_e	0.0008352738010349665	0.006894092758581705	1.0	CD_X	SC1_X
CH14-bin.2	environment	M_co2_e	0.0008155930188401016	0.018532203702384748	0.148	CD_X	SC1_X
CH9-bin.4	environment	M_12ppd__R_e	0.0008142585457088543	0.010700679102701187	0.028	CM_X	SC1_X
CH14-bin.1	environment	M_h2_e	0.0007922170880308523	0.3930038138857289	0.954	CD_X	SC1_X
CH3-bin.2	environment	M_thm_e	0.0007807676687013392	0.0029423636460641387	1.0	M_X	SC1_X
CH14-bin.1	environment	M_but_e	0.0007775633963212771	0.008927566840166264	0.009	CD_X	SC1_X
CH14-bin.1	CH14-bin.0	M_rib__D_e	0.000774059874801267	0.0051559478636861306	0.017	CD_X	SC1_X
CH14-bin.4	environment	M_ac_e	0.000767914546663145	0.013005823576409165	0.996	CD_X	SC1_X
CH3-bin.2	CH3-bin.1	M_acald_e	0.0007364058939011958	0.016716589650080264	0.25	M_X	SC1_X
CH14-bin.1	CH14-bin.2	M_asp__D_e	0.0007167634187632756	0.005426141275853846	0.914	CD_X	SC1_X
CH14-bin.1	CH14-bin.4	M_acald_e	0.0006955187548649929	0.01578844182984339	0.667	CD_X	SC1_X
CH9-bin.1	environment	M_co2_e	0.0006920613592990124	0.015725272027607953	0.345	CM_X	SC1_X
CH14-bin.1	environment	M_thm_e	0.0006873609040592456	0.0025903553859929914	0.862	CD_X	SC1_X
CH9-bin.2	CH9-bin.6	M_gal_e	0.0006708440201858002	0.0037236964320014844	0.016	CM_X	SC1_X
CH14-bin.2	environment	M_ppa_e	0.0006325596635224553	0.008656852344074416	0.056	CD_X	SC1_X
CH9-bin.1	CH9-bin.0	M_acald_e	0.0006309728807336589	0.014323235073087026	0.023	CM_X	SC1_X
CH9-bin.2	CH9-bin.1	M_acald_e	0.0006108109876312225	0.013865555284870348	0.543	CM_X	SC1_X
CH9-bin.6	CH9-bin.0	M_co2_e	0.000599111976760385	0.013613242067289673	0.001	CM_X	SC1_X
CH3-bin.1	environment	M_ibtol_e	0.0005945177970584555	0.006902411267584431	0.114	M_X	SC1_X
CH14-bin.2	CH14-bin.4	M_acald_e	0.0005932441456358207	0.013466783776498462	0.124	CD_X	SC1_X
CH9-bin.2	environment	M_but_e	0.0005832089427361655	0.006696093003725339	0.066	CM_X	SC1_X
CH9-bin.0	CH9-bin.5	M_glyc_e	0.0005792371833121607	0.006289664127350582	0.123	CM_X	SC1_X
CH9-bin.2	CH9-bin.4	M_acald_e	0.0005755212381827273	0.013064469544967521	0.687	CM_X	SC1_X
CH3-bin.1	environment	M_actn__R_e	0.0005743617095776452	0.00651907398436459	0.001	M_X	SC1_X
CH14-bin.1	CH14-bin.4	M_xyl__D_e	0.0005601364704835899	0.0037310220208792407	0.774	CD_X	SC1_X
CH9-bin.1	environment	M_btd_RR_e	0.0005366893707704323	0.005955235215593687	0.119	CM_X	SC1_X
CH9-bin.2	CH9-bin.5	M_orn_e	0.000529501508905356	0.003976179851266187	1.0	CM_X	SC1_X
CH9-bin.6	CH9-bin.1	M_gal_e	0.0005241952971757523	0.0029096840681753213	0.699	CM_X	SC1_X
CH14-bin.4	CH14-bin.1	M_etoh_e	0.0005148912708128818	0.011176717796937623	0.177	CD_X	SC1_X
CH3-bin.2	CH3-bin.1	M_lac__L_e	0.0005050198961331374	0.00566993409812459	0.019	M_X	SC1_X
CH9-bin.4	CH9-bin.0	M_lys__L_e	0.0005040301977598269	0.00342423682994334	0.342	CM_X	SC1_X
CH9-bin.0	CH9-bin.1	M_acald_e	0.0004986491696796187	0.011319455232396386	0.039	CM_X	SC1_X
CH3-bin.2	environment	M_h2s_e	0.0004946037451400704	0.014512680017489924	0.919	M_X	SC1_X
CH14-bin.0	environment	M_but_e	0.0004885079099675182	0.005608786420268898	0.516	CD_X	SC1_X
CH9-bin.5	CH9-bin.4	M_orn__L_e	0.0004860233064670659	0.003649689464370421	0.668	CM_X	SC1_X
