		0
CD_A	CH13_bin_12	0.42608447506727853
CD_A	CH13_bin_11	0.11846751264866029
CD_A	CH13_bin_4	0.117163129901048
CD_A	CH13_bin_14	0.11231778309898491
CD_A	CH13_bin_25	0.07807152551650924
CD_A	CH13_bin_17	0.05557915512614459
CD_A	CH13_bin_0	0.05196867570675145
CD_A	CH13_bin_1	0.015202548261359692
CD_A	CH13_bin_13	0.013250764964431045
CD_A	CH13_bin_2	0.011894429708832364
CD_P	CH15_bin_0	0.2667543717083474
CD_P	CH15_bin_23	0.11509113120527982
CD_P	CH15_bin_1	0.10696892639962763
CD_P	CH15_bin_7	0.08762248391140316
CD_P	CH15_bin_8	0.06349380899982422
CD_P	CH15_bin_22	0.061521250764291165
CD_P	CH15_bin_6	0.0505035474675462
CD_P	CH15_bin_17	0.0492238836411503
CD_P	CH15_bin_16	0.04743490929587535
CD_P	CH15_bin_13	0.03720427115737394
CD_P	CH15_bin_12	0.028447571412941682
CD_P	CH15_bin_5	0.02663830418572999
CD_P	CH15_bin_10	0.02486149040237186
CD_P	CH15_bin_15	0.019432974968019726
CD_P	CH15_bin_2	0.014801074480217589
CD_X	CH14_bin_1	0.7171884100081193
CD_X	CH14_bin_2	0.24686756958480957
CD_X	CH14_bin_4	0.03594402040707116
CM_A	CH8_bin_22	0.512008796765076
CM_A	CH8_bin_17	0.0936782313071004
CM_A	CH8_bin_7	0.0852965016335013
CM_A	CH8_bin_2	0.06456309050239091
CM_A	CH8_bin_6	0.0497924060227011
CM_A	CH8_bin_25	0.04972226797089937
CM_A	CH8_bin_5	0.03448615673630647
CM_A	CH8_bin_9	0.024486104882945666
CM_A	CH8_bin_16	0.020965000439866772
CM_A	CH8_bin_21	0.020538493065574082
CM_A	CH8_bin_8	0.018866748861973016
CM_A	CH8_bin_29	0.012999032379377573
CM_A	CH8_bin_14	0.012597169432287298
CM_P	CH7_bin_23	0.43680927949147214
CM_P	CH7_bin_16	0.0973962092833073
CM_P	CH7_bin_11	0.09279095226825455
CM_P	CH7_bin_13	0.07932117893023971
CM_P	CH7_bin_2	0.0463631765139528
CM_P	CH7_bin_8	0.04299638823478987
CM_P	CH7_bin_18	0.03913182443465567
CM_P	CH7_bin_1	0.0299455279496357
CM_P	CH7_bin_17	0.02635261250186288
CM_P	CH7_bin_4	0.02621242033407095
CM_P	CH7_bin_12	0.023056332727602928
CM_P	CH7_bin_20	0.01986280371805786
CM_P	CH7_bin_9	0.01486235674890445
CM_P	CH7_bin_6	0.013255179043907312
CM_P	CH7_bin_15	0.011643757819285758
CM_X	CH9_bin_0	0.7877195926911692
CM_X	CH9_bin_6	0.10803093842349697
CM_X	CH9_bin_5	0.03486519178602699
CM_X	CH9_bin_1	0.025274297988987674
CM_X	CH9_bin_2	0.022792898506106635
CM_X	CH9_bin_4	0.021317080604212613
M_P	CH1_bin_6	0.4786701709168864
M_P	CH1_bin_9	0.3297856339421022
M_P	CH1_bin_3	0.06561681567811158
M_P	CH1_bin_4	0.04906440588016862
M_P	CH1_bin_8	0.040961167660824485
M_P	CH1_bin_1	0.021679091461244537
M_P	CH1_bin_10	0.014222714460662235
M_X	CH3_bin_2	0.7637038106604236
M_X	CH3_bin_1	0.22059248331669712
M_X	CH3_bin_0	0.01570370602287937
