	medium	description	compound	name	bound
85	SC1_X	SynCon1 on Xylan	4abz	4-Aminobenzoate	1000.0
86	SC1_X	SynCon1 on Xylan	h	H+	1000.0
87	SC1_X	SynCon1 on Xylan	nac	Nicotinate	1000.0
88	SC1_X	SynCon1 on Xylan	ca2	Calcium	1000.0
89	SC1_X	SynCon1 on Xylan	cobalt2	Co2+	1000.0
90	SC1_X	SynCon1 on Xylan	thm	Thiamin	1000.0
91	SC1_X	SynCon1 on Xylan	ascb__L	L-Ascorbate	0.001
92	SC1_X	SynCon1 on Xylan	xylb	Xylobiose	0.72
93	SC1_X	SynCon1 on Xylan	xyl3	Xylotriose	0.48
94	SC1_X	SynCon1 on Xylan	xylan4	Xylan (4 backbone units, 1 glcur side chain)	0.27692307692307694
95	SC1_X	SynCon1 on Xylan	xylan8	Xylan (8 backbone units, 2 glcur side chain)	0.13846153846153847
96	SC2_X	SynCon2 on Xylan	zn2	Zinc	1000.0
97	SC2_X	SynCon2 on Xylan	mn2	Manganese	1000.0
98	SC2_X	SynCon2 on Xylan	fe3	Iron (Fe3+)	1000.0
99	SC2_X	SynCon2 on Xylan	k	Potassium	1000.0
100	SC2_X	SynCon2 on Xylan	slnt	Selenite	1000.0
101	SC2_X	SynCon2 on Xylan	so4	Sulfate	1000.0
102	SC2_X	SynCon2 on Xylan	ribflv	Riboflavin C17H20N4O6	1000.0
103	SC2_X	SynCon2 on Xylan	cl	Chloride	1000.0
104	SC2_X	SynCon2 on Xylan	nh4	Ammonium	1000.0
105	SC2_X	SynCon2 on Xylan	btn	Biotin	1000.0
106	SC2_X	SynCon2 on Xylan	pydxn	Pyridoxine	1000.0
107	SC2_X	SynCon2 on Xylan	ni2	Nickel	1000.0
108	SC2_X	SynCon2 on Xylan	h2o	H2O H2O	1000.0
109	SC2_X	SynCon2 on Xylan	pi	Phosphate	1000.0
110	SC2_X	SynCon2 on Xylan	fe2	Fe2+ mitochondria	1000.0
111	SC2_X	SynCon2 on Xylan	fol	Folate	1000.0
112	SC2_X	SynCon2 on Xylan	pnto__R	(R)-Pantothenate	1000.0
113	SC2_X	SynCon2 on Xylan	cu2	Copper	1000.0
114	SC2_X	SynCon2 on Xylan	na1	Sodium	1000.0
115	SC2_X	SynCon2 on Xylan	mobd	Molybdate	1000.0
116	SC2_X	SynCon2 on Xylan	cys__L	L-Cysteine	0.001
117	SC2_X	SynCon2 on Xylan	mg2	Magnesium	1000.0
118	SC2_X	SynCon2 on Xylan	4abz	4-Aminobenzoate	1000.0
119	SC2_X	SynCon2 on Xylan	h	H+	1000.0
120	SC2_X	SynCon2 on Xylan	nac	Nicotinate	1000.0
121	SC2_X	SynCon2 on Xylan	ca2	Calcium	1000.0
