donor	receiver	compound	mass_rate	rate	frequency	community	medium
CH14-bin.1	CH14-bin.2	M_ura_e	7.869241706501776e-05	0.0007020680176311691	1.0	CD_X	SC1_X
CH3-bin.0	CH3-bin.1	M_ura_e	5.198572991989932e-05	0.00046379968631307683	1.0	M_X	SC1_X
CH3-bin.2	CH3-bin.1	M_gua_e	5.088567093392243e-05	0.00033671045753191464	1.0	M_X	SC1_X
CH14-bin.4	environment	M_co2_e	4.761191305119252e-05	0.0010818553505764104	1.0	CD_X	SC1_X
CH14-bin.4	environment	M_h2_e	3.735253354571515e-05	0.018529880715207434	1.0	CD_X	SC1_X
CH3-bin.2	CH3-bin.0	M_mnl1p_e	2.5326124189873826e-05	9.735750661241989e-05	1.0	M_X	SC1_X
CH3-bin.1	CH3-bin.0	M_co2_e	2.423996931862779e-05	0.0005507894731507468	1.0	M_X	SC1_X
CH3-bin.1	environment	M_ch4s_e	1.9383874637937645e-05	0.00040293000517463353	1.0	M_X	SC1_X
environment	CH3-bin.1	M_cys__L_e	1.62319498472152e-05	0.0001339735159425444	1.0	M_X	SC1_X
CH3-bin.1	CH3-bin.2	M_thym_e	1.584425802413676e-05	0.0001256353069121032	0.04	M_X	SC1_X
CH3-bin.2	CH3-bin.1	M_h2s_e	1.3612942436363973e-05	0.0003994314228646034	0.99	M_X	SC1_X
CH14-bin.1	CH14-bin.4	M_ura_e	1.1468847116509173e-05	0.00010232130438883121	1.0	CD_X	SC1_X
CH14-bin.1	CH14-bin.2	M_h2s_e	1.1137786404004379e-05	0.00032680530985201	0.83	CD_X	SC1_X
CH14-bin.4	CH14-bin.2	M_co2_e	7.954071197023045e-06	0.00018073532298760588	0.88	CD_X	SC1_X
CH3-bin.0	CH3-bin.1	M_h2s_e	7.393914869202852e-06	0.0002169525031455498	0.99	M_X	SC1_X
CH14-bin.4	environment	M_h2s_e	7.2782564906962736e-06	0.00021355885104505393	0.37	CD_X	SC1_X
environment	CH14-bin.4	M_cys__L_e	3.46204035008206e-06	2.8574615027844335e-05	1.0	CD_X	SC1_X
environment	CH14-bin.1	M_nac_e	1.7166736832045715e-06	1.4059421834203007e-05	1.0	CD_X	SC1_X
environment	CH3-bin.2	M_fol_e	1.411372528283516e-06	3.2121845266453687e-06	1.0	M_X	SC1_X
