donor	receiver	compound	mass_rate	rate	frequency	community	medium
CH7-bin.2	CH7-bin.11	M_gal_e	0.0037393604562775237	0.020756305146987127	0.09	CM_P	SC2_C
CH7-bin.23	CH7-bin.17	M_ibt_e	0.0034804335867368616	0.03996047605295783	0.85	CM_P	SC2_C
CH1-bin.9	environment	M_but_e	0.003381092861919243	0.03881989900810755	0.05	M_P	SC2_C
CH7-bin.16	CH7-bin.18	M_actn__R_e	0.0033149911024261585	0.03762554483326855	0.01	CM_P	SC2_C
environment	CH8-bin.17	M_cell4_e	0.003211979594958049	0.004818624725399729	1.0	CM_A	SC2_C
CH8-bin.5	CH8-bin.17	M_glc__D_e	0.0031521888671236105	0.017497054582452765	0.01	CM_A	SC2_C
CH1-bin.6	CH1-bin.9	M_co2_e	0.0031509881834113013	0.07159790916532341	0.3	M_P	SC2_C
CH7-bin.23	environment	M_co2_e	0.002903787326455642	0.06598092062976496	0.64	CM_P	SC2_C
CH7-bin.11	environment	M_co2_e	0.0027850354900788607	0.06328259784998376	0.98	CM_P	SC2_C
environment	CH8-bin.25	M_cell5_e	0.002710600516143767	0.0032708429208259324	0.86	CM_A	SC2_C
CH7-bin.23	CH7-bin.18	M_acald_e	0.0027056837843575637	0.06141966803982448	0.76	CM_P	SC2_C
CH7-bin.16	environment	M_ac_e	0.002699150617382618	0.04571430100963212	1.0	CM_P	SC2_C
CH1-bin.9	environment	M_lac__L_e	0.0026418478840688786	0.029660422321245574	0.15	M_P	SC2_C
environment	CH7-bin.1	M_cellb_e	0.002622211373480563	0.007660663395850145	1.0	CM_P	SC2_C
environment	CH7-bin.8	M_cellb_e	0.002589507953680451	0.007565121940452785	0.53	CM_P	SC2_C
environment	CH1-bin.3	M_cellb_e	0.002565766657338571	0.007495762894231099	0.19	M_P	SC2_C
CH1-bin.9	CH1-bin.4	M_glyald_e	0.0025647623176815884	0.028472777587367225	0.08	M_P	SC2_C
CH1-bin.4	CH1-bin.6	M_glyc_e	0.0025437160579138253	0.027621016227136825	0.8	M_P	SC2_C
CH8-bin.2	CH8-bin.17	M_glc__D_e	0.0025358273065212615	0.014075777392857841	0.03	CM_A	SC2_C
CH1-bin.6	CH1-bin.4	M_glyald_e	0.002520120775711286	0.02797718831310398	0.86	M_P	SC2_C
CH8-bin.5	CH8-bin.2	M_glc__D_e	0.00243357790432839	0.013508215153852676	0.01	CM_A	SC2_C
CH8-bin.2	environment	M_ac_e	0.0024033156417137182	0.04070387697482243	0.99	CM_A	SC2_C
environment	CH1-bin.4	M_cellb_e	0.0023901788754017413	0.006982791702264772	0.08	M_P	SC2_C
CH1-bin.4	environment	M_gal_e	0.0023886153444698174	0.01325863862237722	0.16	M_P	SC2_C
environment	CH1-bin.3	M_cell4_e	0.0023678175295163374	0.003552209394752192	0.82	M_P	SC2_C
environment	CH8-bin.2	M_cell3_e	0.0023586087819134254	0.004675736301653105	0.92	CM_A	SC2_C
CH1-bin.6	environment	M_h2s_e	0.0022736559574855937	0.06671369091939139	0.99	M_P	SC2_C
CH7-bin.18	environment	M_co2_e	0.0022224667249756773	0.05049970404062026	1.0	CM_P	SC2_C
CH8-bin.6	CH8-bin.17	M_glc__D_e	0.0022171970516032904	0.012307136236844915	0.01	CM_A	SC2_C
CH1-bin.4	CH1-bin.6	M_gal_e	0.0021532128052849796	0.011951974824429243	0.06	M_P	SC2_C
CH8-bin.7	CH8-bin.6	M_glc__D_e	0.0021152307601002636	0.011741145478294093	0.02	CM_A	SC2_C
CH8-bin.22	environment	M_5drib_e	0.0021063796382286867	0.015704004084308342	1.0	CM_A	SC2_C
CH7-bin.8	environment	M_ac_e	0.0021063780329004275	0.03567477813796899	1.0	CM_P	SC2_C
environment	CH8-bin.5	M_cell3_e	0.002105148634214183	0.0041732736538806	0.78	CM_A	SC2_C
CH1-bin.9	CH1-bin.6	M_lac__L_e	0.0020173258118016037	0.022648819373138857	0.09	M_P	SC2_C
environment	CH8-bin.6	M_cell3_e	0.0020118918144393315	0.0039884001382124975	0.82	CM_A	SC2_C
CH7-bin.23	environment	M_ac_e	0.001955832685704975	0.03312505924752558	0.77	CM_P	SC2_C
CH1-bin.6	CH1-bin.4	M_diact_e	0.0019444370667437525	0.022586359078903835	0.17	M_P	SC2_C
CH7-bin.16	CH7-bin.18	M_lac__L_e	0.0019433579064910677	0.02181837060924205	0.96	CM_P	SC2_C
CH1-bin.4	environment	M_glyc_e	0.0019326246328433684	0.020985461871286987	0.07	M_P	SC2_C
CH7-bin.1	CH7-bin.8	M_glc__D_e	0.0019170504149463004	0.010641093272509734	0.04	CM_P	SC2_C
environment	CH7-bin.4	M_cell5_e	0.0019091269897027927	0.002303716265837198	1.0	CM_P	SC2_C
environment	CH8-bin.5	M_cell5_e	0.001879743826590106	0.002268260022659272	0.53	CM_A	SC2_C
