medium	description	compound	name
SC2_X	SynCon2 on Xylan	ribflv	Riboflavin C17H20N4O6
SC2_X	SynCon2 on Xylan	cl	Chloride
SC2_X	SynCon2 on Xylan	nh4	Ammonium
SC2_X	SynCon2 on Xylan	btn	Biotin
SC2_X	SynCon2 on Xylan	pydxn	Pyridoxine
SC2_X	SynCon2 on Xylan	ni2	Nickel
SC2_X	SynCon2 on Xylan	h2o	H2O H2O
SC2_X	SynCon2 on Xylan	pi	Phosphate
SC2_X	SynCon2 on Xylan	fe2	Fe2+ mitochondria
SC2_X	SynCon2 on Xylan	fol	Folate
SC2_X	SynCon2 on Xylan	pnto__R	(R)-Pantothenate
SC2_X	SynCon2 on Xylan	cu2	Copper
SC2_X	SynCon2 on Xylan	na1	Sodium
SC2_X	SynCon2 on Xylan	mobd	Molybdate
SC2_X	SynCon2 on Xylan	cys__L	L-Cysteine
SC2_X	SynCon2 on Xylan	mg2	Magnesium
SC2_X	SynCon2 on Xylan	4abz	4-Aminobenzoate
SC2_X	SynCon2 on Xylan	h	H+
SC2_X	SynCon2 on Xylan	nac	Nicotinate
SC2_X	SynCon2 on Xylan	ca2	Calcium
SC2_X	SynCon2 on Xylan	cobalt2	Co2+
SC2_X	SynCon2 on Xylan	thm	Thiamin
SC2_X	SynCon2 on Xylan	xyl__D	D-Xylose
SC2_X	SynCon2 on Xylan	xylb	Xylobiose
SC2_X	SynCon2 on Xylan	xyl3	Xylotriose
SC2_X	SynCon2 on Xylan	xylan4	Xylan (4 backbone units, 1 glcur side chain)
SC2_X	SynCon2 on Xylan	xylan8	Xylan (8 backbone units, 2 glcur side chain)
