donor	receiver	compound	mass_rate	rate	frequency	community	medium
environment	CH14-bin.1	M_cys__L_e	0.000326350042985928	0.0026935927660179655	0.75	CD_X	SC1_X
CH14-bin.1	environment	M_4hba_e	0.00028717998536129346	0.0023134135407062153	0.879	CD_X	SC1_X
CH14-bin.2	CH14-bin.1	M_mal__L_e	0.00024298197085537808	0.0018397773541840108	0.047	CD_X	SC1_X
CH14-bin.4	CH14-bin.0	M_lac__L_e	0.0002352064596364725	0.0026406981899192825	0.006	CD_X	SC1_X
CH14-bin.2	CH14-bin.0	M_glyc_e	0.00022110658452756634	0.002400892403129063	0.161	CD_X	SC1_X
CH14-bin.0	CH14-bin.1	M_ura_e	0.00018415269707983706	0.001642950157109209	0.222	CD_X	SC1_X
CH14-bin.2	environment	M_nac_e	0.00017596813472419047	0.0014411651204712028	0.001	CD_X	SC1_X
CH14-bin.2	CH14-bin.1	M_glyc_e	0.00017030841251833905	0.0018492989463788328	0.05	CD_X	SC1_X
CH14-bin.1	CH14-bin.4	M_asp__D_e	0.00014258332059227026	0.0010794039160772803	0.989	CD_X	SC1_X
CH14-bin.2	environment	M_h2s_e	0.0001300854739074779	0.0038169724275098557	0.037	CD_X	SC1_X
CH14-bin.1	environment	M_glyc_e	0.0001284978257255445	0.001395297450151688	0.061	CD_X	SC1_X
CH14-bin.4	environment	M_h2s_e	0.00012426071280631244	0.0036460620879296395	0.412	CD_X	SC1_X
CH14-bin.0	environment	M_h2_e	0.00011551786530040208	0.057306213563052925	0.457	CD_X	SC1_X
CH14-bin.2	CH14-bin.4	M_asp__D_e	0.00011411432329976088	0.0008638839868409427	0.013	CD_X	SC1_X
CH14-bin.1	CH14-bin.0	M_gcald_e	0.000112289870232509	0.001869883504449642	0.159	CD_X	SC1_X
CH14-bin.0	CH14-bin.1	M_h2_e	0.00011202683039205141	0.055574377612883925	0.002	CD_X	SC1_X
CH14-bin.2	environment	M_glyc_e	0.00010927048390513362	0.0011865167889713562	0.01	CD_X	SC1_X
CH14-bin.0	CH14-bin.4	M_mal__L_e	0.00010646875165349365	0.0008061454005446573	0.003	CD_X	SC1_X
CH14-bin.1	environment	M_gcald_e	0.00010447352999413849	0.001739723538580667	1.0	CD_X	SC1_X
CH14-bin.0	CH14-bin.2	M_co2_e	0.00010072577188372604	0.0022887279310995585	0.302	CD_X	SC1_X
CH14-bin.1	CH14-bin.2	M_anhgm_e	8.707206107301178e-05	0.00018237331684746853	0.014	CD_X	SC1_X
CH14-bin.2	environment	M_succ_e	8.482213326626537e-05	0.0007307717043409725	0.002	CD_X	SC1_X
CH14-bin.1	CH14-bin.2	M_ura_e	6.683862084342532e-05	0.0005963123231806953	0.732	CD_X	SC1_X
CH14-bin.1	CH14-bin.2	M_gua_e	6.672956688459077e-05	0.00044154950861891165	1.0	CD_X	SC1_X
CH14-bin.1	CH14-bin.0	M_h2_e	6.560909195215119e-05	0.03254742134743088	0.005	CD_X	SC1_X
CH14-bin.0	CH14-bin.4	M_g3pg_e	6.403479514028255e-05	0.00026121319462406366	0.912	CD_X	SC1_X
CH14-bin.4	environment	M_succ_e	6.184504086523775e-05	0.0005328161905131104	0.172	CD_X	SC1_X
CH14-bin.1	CH14-bin.0	M_gua_e	5.549475438113656e-05	0.00036720876025311713	1.0	CD_X	SC1_X
CH14-bin.1	CH14-bin.0	M_ura_e	5.333259818805294e-05	0.00047581600466115444	0.347	CD_X	SC1_X
CH14-bin.0	CH14-bin.2	M_ura_e	5.201521492337537e-05	0.00046406274187436647	0.359	CD_X	SC1_X
CH14-bin.0	CH14-bin.2	M_acald_e	4.314865889071074e-05	0.0009794848609998715	0.025	CD_X	SC1_X
CH14-bin.0	CH14-bin.1	M_h2s_e	3.844787487241111e-05	0.0011281388603674538	0.134	CD_X	SC1_X
CH14-bin.4	environment	M_h2_e	3.584424503693659e-05	0.017781647503193065	0.892	CD_X	SC1_X
CH14-bin.0	CH14-bin.1	M_acald_e	2.8641982983445776e-05	0.0006501798536162792	0.067	CD_X	SC1_X
CH14-bin.4	CH14-bin.1	M_h2_e	2.8324439885440283e-05	0.014051215341522115	0.003	CD_X	SC1_X
CH14-bin.4	CH14-bin.2	M_quin_e	2.4227569640259808e-05	0.00012674093834457432	1.0	CD_X	SC1_X
environment	CH14-bin.2	M_cys__L_e	2.230593573182295e-05	0.00018410632514943682	0.736	CD_X	SC1_X
CH14-bin.4	environment	M_ppa_e	1.8172633196561768e-05	0.00024870033825682855	0.001	CD_X	SC1_X
CH14-bin.0	environment	M_acald_e	1.6998565891845406e-05	0.0003858715051131246	0.012	CD_X	SC1_X
CH14-bin.4	CH14-bin.2	M_co2_e	1.59664548022099e-05	0.00036279564190026917	0.302	CD_X	SC1_X
CH14-bin.0	CH14-bin.1	M_thym_e	9.988485041903711e-06	7.92025970490275e-05	0.247	CD_X	SC1_X
CH14-bin.1	CH14-bin.4	M_gua_e	9.760596879554403e-06	6.458586436576658e-05	1.0	CD_X	SC1_X
CH14-bin.1	CH14-bin.4	M_ura_e	9.708131746451013e-06	8.66127774992819e-05	0.732	CD_X	SC1_X
CH14-bin.0	CH14-bin.4	M_ura_e	7.571258300503618e-06	6.754829123645127e-05	0.359	CD_X	SC1_X
CH14-bin.0	CH14-bin.2	M_h2s_e	7.136252331248882e-06	0.0002093921601385203	0.925	CD_X	SC1_X
CH14-bin.4	CH14-bin.0	M_h2_e	6.594582055569093e-06	0.003271446599647333	0.007	CD_X	SC1_X
CH14-bin.1	CH14-bin.2	M_h2s_e	4.566468982799491e-06	0.00013398948917864285	0.755	CD_X	SC1_X
CH14-bin.4	CH14-bin.1	M_h2s_e	3.447086348975836e-06	0.0001011445256266237	0.06	CD_X	SC1_X
environment	CH14-bin.4	M_cys__L_e	2.9648263429160945e-06	2.4470763713435887e-05	1.0	CD_X	SC1_X
CH14-bin.2	CH14-bin.1	M_h2s_e	2.5528199326056737e-06	7.490492983162584e-05	0.008	CD_X	SC1_X
environment	CH14-bin.4	M_ascb__L_e	1.761238e-06	1.0000000000000003e-05	1.0	CD_X	SC1_X
environment	CH14-bin.4	M_pydxn_e	1.6917739999999995e-06	1.0000000000000003e-05	1.0	CD_X	SC1_X
environment	CH14-bin.1	M_nac_e	1.473684533365659e-06	1.206935989514984e-05	0.999	CD_X	SC1_X
CH14-bin.2	CH14-bin.1	M_nac_e	1.4736845333650562e-06	1.2069359895144903e-05	0.001	CD_X	SC1_X
CH14-bin.0	CH14-bin.4	M_h2s_e	9.019170850244821e-07	2.646408197649358e-05	0.477	CD_X	SC1_X
CH14-bin.0	CH14-bin.4	M_thym_e	8.762367135685397e-07	6.9480229537497656e-06	0.005	CD_X	SC1_X
CH14-bin.4	CH14-bin.1	M_thym_e	8.762367135685395e-07	6.948022953749765e-06	0.001	CD_X	SC1_X
CH14-bin.1	CH14-bin.4	M_thym_e	8.762367135685395e-07	6.948022953749767e-06	0.023	CD_X	SC1_X
CH14-bin.4	CH14-bin.2	M_h2s_e	6.747547939624204e-07	1.9798678257623665e-05	0.38	CD_X	SC1_X
environment	CH14-bin.1	M_pnto__R_e	6.65978623830723e-07	3.051778445828383e-06	1.0	CD_X	SC1_X
CH14-bin.1	CH14-bin.4	M_h2s_e	5.994251681681074e-07	1.7588353799444482e-05	0.388	CD_X	SC1_X
environment	CH14-bin.2	M_fol_e	5.360787454983353e-07	1.2200774897095785e-06	1.0	CD_X	SC1_X
environment	CH14-bin.2	M_nac_e	5.071712612917473e-07	4.153692559307292e-06	0.998	CD_X	SC1_X
CH14-bin.1	CH14-bin.4	M_h2_e	3.7474541079691053e-07	0.0001859040632983979	0.008	CD_X	SC1_X
environment	CH14-bin.1	M_thm_e	3.135168275967793e-07	1.1815045024654968e-06	0.121	CD_X	SC1_X
environment	CH14-bin.2	M_pnto__R_e	2.2924035297609998e-07	1.0504703050414613e-06	1.0	CD_X	SC1_X
CH14-bin.0	CH14-bin.4	M_h2_e	1.46671495918225e-07	7.276093656028625e-05	0.005	CD_X	SC1_X
CH14-bin.2	CH14-bin.4	M_h2s_e	8.546189806700003e-08	2.5076259379768093e-06	0.016	CD_X	SC1_X
CH14-bin.0	environment	M_gcald_e	6.476837217380079e-08	1.0785417285377087e-06	0.11	CD_X	SC1_X
CH14-bin.0	environment	M_ura_e	6.98659048126079e-10	6.2332076102413565e-09	0.085	CD_X	SC1_X
environment	CH14-bin.2	M_ura_e	4.5384359677085477e-10	4.049044192355329e-09	0.163	CD_X	SC1_X
