zn2
mn2
fe3
k
b12
slnt
so4
ribflv
cl
nh4
btn
pydxn
ni2
rbflvrd
h2o
pi
fe2
fol
pnto__R
cu2
na1
tungs
mobd
cys__L
mg2
4abz
h
nac
ca2
cobalt2
thm
