donor	receiver	compound	mass_rate	rate	frequency	community	medium
CH8-bin.17	environment	M_man1p_e	0.0031980542480235276	0.012389820404981135	0.01	CM_A	SC2_C
CH8-bin.17	CH8-bin.25	M_glc__D_e	0.0031952782249144887	0.01773623341245663	0.01	CM_A	SC2_C
CH8-bin.2	environment	M_ac_e	0.0031406166046325807	0.05319121204108439	1.0	CM_A	SC2_C
CH7-bin.11	environment	M_ac_e	0.0030606591020442635	0.05183700775260888	1.0	CM_P	SC2_C
environment	CH8-bin.5	M_cellb_e	0.0030251592291249386	0.00883785602013271	0.07	CM_A	SC2_C
CH8-bin.8	CH8-bin.2	M_glc__D_e	0.003012213451887627	0.016720084171152387	0.01	CM_A	SC2_C
CH8-bin.17	CH8-bin.2	M_glc__D_e	0.0029478557559340503	0.016362849828170847	0.28	CM_A	SC2_C
environment	CH8-bin.17	M_cell4_e	0.0029407447995126543	0.004411717192807202	0.91	CM_A	SC2_C
CH1-bin.9	CH1-bin.6	M_co2_e	0.0029310840324307773	0.06660116639431889	0.17	M_P	SC2_C
CH8-bin.7	CH8-bin.25	M_glc__D_e	0.0028627549317581896	0.01589047528832436	0.01	CM_A	SC2_C
environment	CH7-bin.2	M_cell3_e	0.0027844957770921715	0.005520020143479451	0.01	CM_P	SC2_C
environment	CH8-bin.25	M_cellb_e	0.0027398875897039227	0.008004448756291119	0.12	CM_A	SC2_C
environment	CH8-bin.25	M_cell5_e	0.002708737594797348	0.0032685949602497787	0.77	CM_A	SC2_C
CH7-bin.20	CH7-bin.11	M_glc__D_e	0.0026974097951438297	0.014972683556217743	0.05	CM_P	SC2_C
environment	CH8-bin.6	M_cell4_e	0.002681440783115907	0.004022708262997628	0.98	CM_A	SC2_C
CH8-bin.17	environment	M_ac_e	0.002677657170910146	0.045350276165872276	0.99	CM_A	SC2_C
CH8-bin.7	CH8-bin.2	M_glc__D_e	0.0026003249336972486	0.014433788460946763	0.27	CM_A	SC2_C
environment	CH7-bin.2	M_cell4_e	0.0024200527876723304	0.0036305729394282577	0.99	CM_P	SC2_C
environment	CH1-bin.3	M_cellb_e	0.00237824414133369	0.00694792495531257	0.79	M_P	SC2_C
CH7-bin.23	CH7-bin.11	M_acald_e	0.002334227290743696	0.05298751692855997	0.41	CM_P	SC2_C
CH1-bin.3	environment	M_ac_e	0.0022896875495571093	0.038779409042375416	0.99	M_P	SC2_C
environment	CH8-bin.25	M_cell4_e	0.0022571408898982323	0.0033861718542195227	0.2	CM_A	SC2_C
CH7-bin.18	CH7-bin.13	M_lcts_e	0.002192918053743769	0.006406503775519664	0.48	CM_P	SC2_C
CH7-bin.16	environment	M_ac_e	0.0021883418810592988	0.03706296299972222	0.99	CM_P	SC2_C
CH8-bin.5	environment	M_gal_e	0.002093310221116378	0.011619469752871007	0.28	CM_A	SC2_C
CH8-bin.5	CH8-bin.6	M_glc__D_e	0.002029700792828007	0.011266388866656268	0.04	CM_A	SC2_C
CH8-bin.14	CH8-bin.6	M_glc__D_e	0.002029700792828004	0.011266388866656254	0.01	CM_A	SC2_C
CH8-bin.8	CH8-bin.6	M_glc__D_e	0.0020297007928279996	0.011266388866656228	0.01	CM_A	SC2_C
CH8-bin.2	CH8-bin.6	M_glc__D_e	0.0020277096563804152	0.011255336539345562	0.15	CM_A	SC2_C
CH8-bin.6	environment	M_co2_e	0.0020184117584480664	0.04586309225162899	1.0	CM_A	SC2_C
CH8-bin.7	CH8-bin.17	M_acald_e	0.0020012514913577075	0.04542888676570875	0.91	CM_A	SC2_C
CH8-bin.25	CH8-bin.2	M_glc__D_e	0.0019818509677939013	0.01100078580932851	0.07	CM_A	SC2_C
CH8-bin.7	environment	M_co2_e	0.00197321425863904	0.04483609808425544	1.0	CM_A	SC2_C
CH8-bin.7	CH8-bin.6	M_glc__D_e	0.0019361356238164378	0.010747030751320462	0.27	CM_A	SC2_C
CH7-bin.11	CH7-bin.13	M_rib__D_e	0.0019170127549365211	0.01276906107684713	0.84	CM_P	SC2_C
CH1-bin.6	environment	M_co2_e	0.0018814437836758644	0.04275085569424474	0.21	M_P	SC2_C
CH7-bin.23	environment	M_h2s_e	0.001858640623235413	0.05453629677811006	0.81	CM_P	SC2_C
environment	CH8-bin.5	M_cell5_e	0.001812289010444576	0.002186863259635296	0.87	CM_A	SC2_C
CH7-bin.23	CH7-bin.16	M_acald_e	0.0017370864212334373	0.03943227658954875	0.55	CM_P	SC2_C
CH8-bin.17	CH8-bin.6	M_glc__D_e	0.0017291659527525574	0.009598191076995511	0.33	CM_A	SC2_C
CH8-bin.2	CH8-bin.17	M_glc__D_e	0.00172636091185539	0.009582620958657858	0.02	CM_A	SC2_C
CH7-bin.2	CH7-bin.1	M_glc__D_e	0.0017018699240705462	0.009446677280117865	0.05	CM_P	SC2_C
CH8-bin.25	CH8-bin.6	M_glc__D_e	0.0016816789425521694	0.009334601918966458	0.11	CM_A	SC2_C
CH8-bin.17	environment	M_etoh_e	0.001663364925459293	0.036106575152910096	0.86	CM_A	SC2_C
CH8-bin.2	CH8-bin.9	M_glyc3p_e	0.001651481805932577	0.009711308438626541	0.01	CM_A	SC2_C
CH8-bin.8	CH8-bin.22	M_asp__L_e	0.0016225124715715355	0.012282967660058028	1.0	CM_A	SC2_C
CH8-bin.7	environment	M_acald_e	0.0016040976544961145	0.036413399826027974	0.6	CM_A	SC2_C
CH7-bin.23	environment	M_lac__L_e	0.0015991808708971092	0.017954243423664466	0.16	CM_P	SC2_C
CH7-bin.13	environment	M_ac_e	0.0015622801484836558	0.02645963678692729	1.0	CM_P	SC2_C
environment	CH1-bin.4	M_cell4_e	0.001551504515589189	0.0023275733233557596	0.97	M_P	SC2_C
environment	CH7-bin.18	M_cellb_e	0.0014858648209976422	0.004340882035870875	0.6	CM_P	SC2_C
CH7-bin.11	environment	M_co2_e	0.0014660743731989925	0.03331267960778905	0.76	CM_P	SC2_C
CH7-bin.13	environment	M_isobuta_e	0.0014519430990158355	0.01647972754056346	0.01	CM_P	SC2_C
CH8-bin.7	CH8-bin.8	M_glc__D_e	0.0014319654657731782	0.007948501492451396	0.03	CM_A	SC2_C
CH8-bin.5	CH8-bin.9	M_gal_e	0.001420550934969714	0.00788514213267942	0.01	CM_A	SC2_C
CH1-bin.9	environment	M_h2s_e	0.0014049322184995071	0.0412235692383837	1.0	M_P	SC2_C
CH8-bin.22	environment	M_co2_e	0.0013789010118740975	0.03133189451991269	1.0	CM_A	SC2_C
CH7-bin.16	CH7-bin.23	M_lac__L_e	0.001356436343481989	0.015228914216513217	0.49	CM_P	SC2_C
CH8-bin.9	CH8-bin.8	M_glyc3p_e	0.0013464551892055654	0.007917641958992515	0.03	CM_A	SC2_C
environment	CH8-bin.2	M_cell3_e	0.0013442852863207583	0.0026649283939021748	0.75	CM_A	SC2_C
CH8-bin.25	environment	M_lac__L_e	0.0013437981480907888	0.015087023301846289	0.01	CM_A	SC2_C
CH1-bin.6	environment	M_h2s_e	0.0013401938996039932	0.03932401526971178	0.79	M_P	SC2_C
CH1-bin.4	environment	M_ac_e	0.0012730418038930198	0.021560936928167348	0.99	M_P	SC2_C
environment	CH1-bin.3	M_cell4_e	0.0012668225107874817	0.0019004922331249273	0.83	M_P	SC2_C
CH7-bin.20	CH7-bin.8	M_glc__D_e	0.0012647601105417745	0.007020384126935827	0.02	CM_P	SC2_C
CH7-bin.8	environment	M_ac_e	0.001258325490378973	0.021311693339684086	0.98	CM_P	SC2_C
CH8-bin.7	environment	M_man1p_e	0.0012525165594092778	0.004852467788792702	0.57	CM_A	SC2_C
