donor	receiver	compound	mass_rate	rate	frequency	community	medium
CH15-bin.16	CH15-bin.7	M_acald_e	3.511557314288908e-06	7.971318961711299e-05	0.3	CD_P	SC1_C
CH15-bin.22	CH15-bin.0	M_h2s_e	3.4980850190641987e-06	0.00010264093034976289	0.1	CD_P	SC1_C
CH15-bin.1	CH15-bin.5	M_gua_e	3.4910804197467105e-06	2.3100477282495656e-05	0.5	CD_P	SC1_C
CH15-bin.17	CH15-bin.23	M_co2_e	3.4042880924663706e-06	7.73534825995835e-05	0.1	CD_P	SC1_C
CH15-bin.22	CH15-bin.23	M_thym_e	3.380098868322529e-06	2.6802123398144437e-05	0.3	CD_P	SC1_C
CH15-bin.17	CH15-bin.6	M_co2_e	3.3694473996086347e-06	7.656181959823752e-05	0.1	CD_P	SC1_C
CH15-bin.1	CH15-bin.10	M_gua_e	3.26121574871998e-06	2.1579462876449234e-05	0.5	CD_P	SC1_C
CH15-bin.6	environment	M_ppa_e	3.0550834674146337e-06	4.1810137448469335e-05	0.4	CD_P	SC1_C
CH15-bin.1	CH15-bin.6	M_indole_e	2.9931072421780014e-06	2.554988102340979e-05	1.0	CD_P	SC1_C
CH15-bin.1	CH15-bin.23	M_h2s_e	2.969273787060802e-06	8.712453308199347e-05	0.3	CD_P	SC1_C
CH15-bin.1	CH15-bin.17	M_indole_e	2.91726759806587e-06	2.4902495638543767e-05	1.0	CD_P	SC1_C
CH15-bin.7	CH15-bin.2	M_co2_e	2.8863021253183143e-06	6.558361547662012e-05	0.3	CD_P	SC1_C
environment	CH15-bin.12	M_cys__L_e	2.8269007187290305e-06	2.3332368081066365e-05	0.1	CD_P	SC1_C
environment	CH15-bin.5	M_cys__L_e	2.647109665540891e-06	2.184842808880718e-05	0.7	CD_P	SC1_C
CH15-bin.13	CH15-bin.0	M_h2s_e	2.514482078932898e-06	7.378001921706352e-05	0.1	CD_P	SC1_C
CH15-bin.23	CH15-bin.5	M_anhgm_e	2.4358995464042716e-06	5.102016356457713e-06	0.1	CD_P	SC1_C
CH15-bin.13	CH15-bin.16	M_s_e	2.4046468958905685e-06	7.499288619649365e-05	0.1	CD_P	SC1_C
CH15-bin.23	CH15-bin.12	M_anhgm_e	2.3656493836547945e-06	4.954876676613065e-06	0.2	CD_P	SC1_C
CH15-bin.22	CH15-bin.8	M_istfrnB_e	2.361101471461645e-06	3.794612254160989e-06	0.1	CD_P	SC1_C
CH15-bin.16	CH15-bin.2	M_acald_e	2.359673359344445e-06	5.3565148762483885e-05	0.3	CD_P	SC1_C
CH15-bin.1	CH15-bin.13	M_indole_e	2.2049218129211244e-06	1.8821741230047605e-05	1.0	CD_P	SC1_C
CH15-bin.8	CH15-bin.22	M_stfrnB_e	2.1491913501280242e-06	3.794612254160989e-06	0.1	CD_P	SC1_C
CH15-bin.22	CH15-bin.2	M_co2_e	2.1393928553673402e-06	4.861206910706416e-05	0.3	CD_P	SC1_C
CH15-bin.16	environment	M_acald_e	2.070682902526725e-06	4.700499637991857e-05	0.2	CD_P	SC1_C
CH15-bin.1	CH15-bin.0	M_h2s_e	1.957514963424125e-06	5.743747105185692e-05	0.1	CD_P	SC1_C
environment	CH15-bin.15	M_cys__L_e	1.9310994990295263e-06	1.5938700646260183e-05	1.0	CD_P	SC1_C
CH15-bin.22	CH15-bin.8	M_thym_e	1.8647427451468718e-06	1.478627315597564e-05	0.7	CD_P	SC1_C
CH15-bin.5	CH15-bin.8	M_lac__L_e	1.8552744414370866e-06	2.0829444339575103e-05	0.5	CD_P	SC1_C
CH15-bin.8	CH15-bin.2	M_co2_e	1.7873857081128877e-06	4.061363360440104e-05	0.3	CD_P	SC1_C
CH15-bin.1	CH15-bin.2	M_co2_e	1.6195333901532544e-06	3.679963167391709e-05	0.2	CD_P	SC1_C
CH15-bin.1	CH15-bin.5	M_indole_e	1.578726746450527e-06	1.3476390010982102e-05	1.0	CD_P	SC1_C
CH15-bin.23	CH15-bin.22	M_ura_e	1.5555009061123573e-06	1.3877670534322187e-05	0.2	CD_P	SC1_C
CH15-bin.1	CH15-bin.16	M_ala__D_e	1.515210531172688e-06	1.700708508952664e-05	0.1	CD_P	SC1_C
CH15-bin.10	environment	M_meoh_e	1.4582470781330697e-06	4.551091478083465e-05	0.7	CD_P	SC1_C
CH15-bin.1	CH15-bin.8	M_h2s_e	1.4455099519107935e-06	4.241420248089227e-05	0.2	CD_P	SC1_C
CH15-bin.22	CH15-bin.16	M_thym_e	1.4367230839012235e-06	1.139233817820055e-05	1.0	CD_P	SC1_C
CH15-bin.16	environment	M_ppa_e	1.4228120387586103e-06	1.9471797591892343e-05	0.1	CD_P	SC1_C
CH15-bin.13	environment	M_fald_e	1.3230471340168477e-06	4.4063529619989664e-05	0.6	CD_P	SC1_C
CH15-bin.22	CH15-bin.23	M_h2s_e	1.2262982132780727e-06	3.5982084143508156e-05	0.3	CD_P	SC1_C
CH15-bin.7	CH15-bin.0	M_h2s_e	1.1663270028621562e-06	3.422240683499673e-05	0.1	CD_P	SC1_C
CH15-bin.1	CH15-bin.15	M_indole_e	1.1517008414353604e-06	9.831194505353594e-06	1.0	CD_P	SC1_C
CH15-bin.1	CH15-bin.16	M_h2s_e	1.1378311307059033e-06	3.338627997892958e-05	0.4	CD_P	SC1_C
CH15-bin.13	CH15-bin.2	M_co2_e	1.1367244289233199e-06	2.582906938100455e-05	0.3	CD_P	SC1_C
CH15-bin.23	CH15-bin.8	M_ura_e	1.133817297518269e-06	1.0115547242206195e-05	0.2	CD_P	SC1_C
CH15-bin.12	CH15-bin.5	M_acald_e	1.0831829021838052e-06	2.4588510550703374e-05	0.3	CD_P	SC1_C
CH15-bin.6	CH15-bin.12	M_istfrnB_e	1.0578606604431764e-06	1.7001264341373405e-06	0.1	CD_P	SC1_C
CH15-bin.1	CH15-bin.12	M_istfrnB_e	1.0578606604431764e-06	1.7001264341373405e-06	0.1	CD_P	SC1_C
CH15-bin.23	CH15-bin.16	M_thym_e	1.0097623230789673e-06	8.006799635239853e-06	0.2	CD_P	SC1_C
CH15-bin.12	CH15-bin.6	M_stfrnB_e	9.629170997287766e-07	1.7001264341373405e-06	0.1	CD_P	SC1_C
CH15-bin.12	CH15-bin.1	M_stfrnB_e	9.629170997287766e-07	1.7001264341373405e-06	0.1	CD_P	SC1_C
CH15-bin.23	CH15-bin.6	M_ura_e	9.107867973822321e-07	8.125742036802188e-06	0.2	CD_P	SC1_C
CH15-bin.10	environment	M_fald_e	8.879436654673131e-07	2.9572591178526306e-05	0.2	CD_P	SC1_C
CH15-bin.23	CH15-bin.17	M_ura_e	8.877091924096711e-07	7.91985119014825e-06	0.2	CD_P	SC1_C
CH15-bin.13	CH15-bin.12	M_fe3dcit_e	8.58042431222301e-07	1.9768558745710136e-06	0.1	CD_P	SC1_C
CH15-bin.23	CH15-bin.16	M_ura_e	7.879540872140258e-07	7.0298687551770295e-06	0.2	CD_P	SC1_C
CH15-bin.0	CH15-bin.17	M_h2s_e	7.725795075303893e-07	2.2669054351141683e-05	0.1	CD_P	SC1_C
CH15-bin.17	CH15-bin.10	M_fe3dcit_e	7.498782008138758e-07	1.727654801849296e-06	0.1	CD_P	SC1_C
CH15-bin.22	CH15-bin.13	M_cit_e	7.476449149068828e-07	3.953711749142027e-06	0.1	CD_P	SC1_C
CH15-bin.22	CH15-bin.12	M_cit_e	7.476449149068827e-07	3.953711749142027e-06	0.9	CD_P	SC1_C
CH15-bin.16	CH15-bin.23	M_h2s_e	7.317179025675394e-07	2.147009173985175e-05	0.1	CD_P	SC1_C
CH15-bin.13	CH15-bin.5	M_acald_e	7.154685370026968e-07	1.624130664850716e-05	0.1	CD_P	SC1_C
environment	CH15-bin.0	M_fol_e	6.97860864506221e-07	1.5882822045888223e-06	1.0	CD_P	SC1_C
CH15-bin.23	CH15-bin.13	M_ura_e	6.709461151840774e-07	5.985961882901947e-06	0.2	CD_P	SC1_C
CH15-bin.22	CH15-bin.17	M_cit_e	6.53397318404602e-07	3.455309603698592e-06	0.1	CD_P	SC1_C
CH15-bin.5	CH15-bin.0	M_h2s_e	6.336980312648987e-07	1.8593989321403804e-05	0.1	CD_P	SC1_C
environment	CH15-bin.0	M_nac_e	6.266839885230542e-07	5.1324923528500854e-06	1.0	CD_P	SC1_C
CH15-bin.2	CH15-bin.0	M_h2s_e	6.218647293498237e-07	1.824677617162226e-05	0.1	CD_P	SC1_C
CH15-bin.17	CH15-bin.23	M_h2s_e	6.044290891535036e-07	1.7735179020254914e-05	0.2	CD_P	SC1_C
CH15-bin.0	CH15-bin.23	M_h2s_e	5.608824399340385e-07	1.6457431748492953e-05	0.3	CD_P	SC1_C
CH15-bin.7	CH15-bin.23	M_h2s_e	5.460695649158063e-07	1.6022791862744016e-05	0.3	CD_P	SC1_C
CH15-bin.22	CH15-bin.2	M_cit_e	5.186509949573117e-07	2.742741228598233e-06	0.8	CD_P	SC1_C
CH15-bin.23	CH15-bin.12	M_ura_e	5.130267824680069e-07	4.5770572260021e-06	0.2	CD_P	SC1_C
CH15-bin.16	CH15-bin.0	M_h2s_e	5.11106551632411e-07	1.4996905930389284e-05	0.1	CD_P	SC1_C
CH15-bin.15	CH15-bin.0	M_h2s_e	4.84353662314907e-07	1.4211921736429515e-05	0.1	CD_P	SC1_C
CH15-bin.23	CH15-bin.5	M_ura_e	4.803982487092709e-07	4.285956115265079e-06	0.2	CD_P	SC1_C
CH15-bin.10	CH15-bin.2	M_co2_e	4.636955384081127e-07	1.0536260089483239e-05	0.3	CD_P	SC1_C
CH15-bin.12	CH15-bin.16	M_s_e	4.6027102851288936e-07	1.4354312443876171e-05	0.1	CD_P	SC1_C
CH15-bin.23	CH15-bin.10	M_ura_e	4.4835498409841585e-07	4.000076584519611e-06	0.2	CD_P	SC1_C
CH15-bin.16	CH15-bin.2	M_co2_e	4.456292066861048e-07	1.0125750274056846e-05	0.3	CD_P	SC1_C
CH15-bin.5	CH15-bin.17	M_lac__L_e	4.2733409641202e-07	4.797743976207648e-06	0.3	CD_P	SC1_C
CH15-bin.6	CH15-bin.23	M_h2s_e	4.1783298376121617e-07	1.2260069709666915e-05	0.3	CD_P	SC1_C
CH15-bin.5	CH15-bin.2	M_co2_e	4.167932149165092e-07	9.470528293130099e-06	0.3	CD_P	SC1_C
CH15-bin.13	CH15-bin.23	M_h2s_e	4.0080505917991406e-07	1.1760435763829315e-05	0.3	CD_P	SC1_C
environment	CH15-bin.0	M_ribflv_e	4.006483156412245e-07	1.0588548030591146e-06	1.0	CD_P	SC1_C
CH15-bin.8	CH15-bin.23	M_h2s_e	3.879689571512215e-07	1.138379841879362e-05	0.1	CD_P	SC1_C
CH15-bin.1	CH15-bin.10	M_h2s_e	3.816251092957377e-07	1.1197657017902685e-05	0.5	CD_P	SC1_C
CH15-bin.6	CH15-bin.2	M_co2_e	3.7495384930299845e-07	8.519838882582134e-06	0.2	CD_P	SC1_C
CH15-bin.22	CH15-bin.2	M_thym_e	3.619058589621435e-07	2.8696928309758737e-06	0.4	CD_P	SC1_C
CH15-bin.23	CH15-bin.15	M_ura_e	3.504565109234239e-07	3.1266584134358957e-06	0.2	CD_P	SC1_C
CH15-bin.13	CH15-bin.17	M_h2s_e	3.367777216583686e-07	9.881743434965396e-06	0.2	CD_P	SC1_C
CH15-bin.23	CH15-bin.0	M_h2s_e	3.327305246158963e-07	9.762990440831681e-06	0.1	CD_P	SC1_C
CH15-bin.22	CH15-bin.8	M_h2s_e	3.210724425834995e-07	9.4209185988445e-06	0.2	CD_P	SC1_C
CH15-bin.8	CH15-bin.17	M_h2s_e	3.11970580960748e-07	9.153851463602616e-06	0.2	CD_P	SC1_C
CH15-bin.22	CH15-bin.17	M_h2s_e	3.101631294127617e-07	9.100817158422387e-06	0.2	CD_P	SC1_C
CH15-bin.7	CH15-bin.16	M_h2s_e	3.0216397631669505e-07	8.866105734510195e-06	0.5	CD_P	SC1_C
environment	CH15-bin.0	M_pnto__R_e	2.9842233487326703e-07	1.367489611125267e-06	1.0	CD_P	SC1_C
CH15-bin.1	CH15-bin.15	M_h2s_e	2.938090884989214e-07	8.620956330218816e-06	0.1	CD_P	SC1_C
CH15-bin.2	CH15-bin.23	M_h2s_e	2.8651384869134413e-07	8.406899154108595e-06	0.3	CD_P	SC1_C
CH15-bin.23	CH15-bin.2	M_thym_e	2.8373180739261693e-07	2.249820259692426e-06	0.1	CD_P	SC1_C
CH15-bin.6	CH15-bin.8	M_h2s_e	2.7620333870053054e-07	8.10436781708559e-06	0.2	CD_P	SC1_C
CH15-bin.6	CH15-bin.17	M_h2s_e	2.729774791193139e-07	8.009714534849943e-06	0.2	CD_P	SC1_C
CH15-bin.0	CH15-bin.16	M_h2s_e	2.710844797031176e-07	7.95417008119286e-06	0.5	CD_P	SC1_C
CH15-bin.23	CH15-bin.2	M_ura_e	2.6700522303168056e-07	2.382133306137224e-06	0.2	CD_P	SC1_C
