	chebi id	chebi class	self defined super class
M_algac_MG_41_e		not classified	other
M_algac__M_e		not classified	other
M_anhgm_e		not classified	other
M_apc_e		not classified	other
M_araban__L_e		not classified	other
M_asn__D_e		not classified	other
M_aso4_e		not classified	other
M_balaala_e		not classified	other
M_balabala_e		not classified	other
M_balagly_e		not classified	other
M_balaleu_e		not classified	other
M_balamd_e		not classified	other
M_btd_RR_e		not classified	other
M_buts_e		not classified	other
M_butso3_e		not classified	other
M_carn_e		not classified	other
M_chtbs_e		not classified	other
M_cmcbtt_e		not classified	other
M_cpgn_un_e		not classified	other
M_cresol_e		not classified	other
M_crtn_e		not classified	other
M_cyan_e		not classified	other
M_d23hb_e		not classified	other
M_dachi_e		not classified	other
M_dag181d9_e		not classified	other
M_dag182d9d12_e		not classified	other
M_dca_e		not classified	other
M_ddca_e		not classified	other
M_dgudbutn_e		not classified	other
M_diact_e		not classified	other
M_dmanur_e		not classified	other
M_dmso2_e		not classified	other
M_dxylnt_e		not classified	other
M_ecto__L_e		not classified	other
M_fcmcbtt_e		not classified	other
M_fe3dcit_e		not classified	other
M_fe3dhbzs3_e		not classified	other
M_fe3dhbzs_e		not classified	other
M_fe3hox_un_e		not classified	other
M_fe3mcbtt_e		not classified	other
M_fe3pyovd_kt_e		not classified	other
M_feoxam_un_e		not classified	other
M_fuc_e		not classified	other
M_galam_e		not classified	other
M_galman4_e		not classified	other
M_galman6_e		not classified	other
M_glcman4_e		not classified	other
M_glcman6_e		not classified	other
M_glucan4_e		not classified	other
M_glucan6_e		not classified	other
M_gly_asn__L_e		not classified	other
M_gly_cys_e		not classified	other
M_gly_gln_e		not classified	other
M_gly_glu__L_e		not classified	other
M_gly_leu_e		not classified	other
M_gly_met_e		not classified	other
M_gly_phe_e		not classified	other
M_gly_pro__L_e		not classified	other
M_gly_tyr_e		not classified	other
M_glycol_e		not classified	other
M_glygln_e		not classified	other
M_glyglu_e		not classified	other
M_glyglygln_e		not classified	other
M_glymet_e		not classified	other
M_glyser_e		not classified	other
M_gudac_e		not classified	other
M_gudptn_e		not classified	other
M_h2co3_e		not classified	other
M_hco3_e		not classified	other
M_hdcea_e		not classified	other
M_hexs_e		not classified	other
M_hia_e		not classified	other
M_hisgly_e		not classified	other
M_hishis_e		not classified	other
M_hpta_e		not classified	other
M_ibtol_e		not classified	other
M_isobuta_e		not classified	other
M_istfrnA_e		not classified	other
M_istfrnB_e		not classified	other
M_ival_e		not classified	other
M_lysglugly_e		not classified	other
M_m2but_e		not classified	other
M_m4po_e		not classified	other
M_manb_e		not classified	other
M_mantr_e		not classified	other
M_manur_e		not classified	other
M_mbdg_e		not classified	other
M_mcbtt_e		not classified	other
M_met_L_ala__L_e		not classified	other
M_metglcur_e		not classified	other
M_metox__R_e		not classified	other
M_mevR_e		not classified	other
M_octscoa_e		not classified	other
M_pea_e		not classified	other
M_pentso3_e		not classified	other
M_phe__D_e		not classified	other
M_phedca_e		not classified	other
M_phehpa_e		not classified	other
M_phehxa_e		not classified	other
M_phenona_e		not classified	other
M_pheocta_e		not classified	other
M_phept_e		not classified	other
M_ppat_e		not classified	other
M_prealg_MG_14_e		not classified	other
M_prealg_MG_23_e		not classified	other
M_prealg_MG_32_e		not classified	other
M_prealg_MG_41_e		not classified	other
M_prealginate_G_e		not classified	other
M_pro__D_e		not classified	other
M_prohisglu_e		not classified	other
M_psuri_e		not classified	other
M_ptsla_e		not classified	other
M_pyovd_kt_e		not classified	other
M_salchs2_e		not classified	other
M_salchs2fe_e		not classified	other
M_salchs4_e		not classified	other
M_salchs4fe_e		not classified	other
M_salchsx_e		not classified	other
M_serglugly_e		not classified	other
M_slnt_e		not classified	other
M_stfrnA_e		not classified	other
M_stfrnB_e		not classified	other
M_tag160_e		not classified	other
M_tag180_e		not classified	other
M_tag181d9_e		not classified	other
M_tag182d9d12_e		not classified	other
M_tgt_e		not classified	other
M_tmam_e		not classified	other
M_tmanur_e		not classified	other
M_tmao_e		not classified	other
M_tnt_e		not classified	other
M_ttdca_e		not classified	other
M_ttdcea_e		not classified	other
M_vacc_e		not classified	other
